iter	Passed	Remaining
0	4	4656
1	8	4029
2	11	3890
3	15	3873
4	18	3745
5	22	3688
6	25	3624
7	29	3618
8	32	3574
9	36	3578
10	39	3560
11	42	3536
12	47	3629
13	52	3678
14	56	3690
15	60	3714
16	64	3746
17	68	3751
18	72	3741
19	77	3806
20	81	3798
21	85	3782
22	89	3796
23	93	3815
24	101	3940
25	107	4023
26	112	4042
27	116	4033
28	120	4024
29	123	4009
30	128	4002
31	131	3988
32	135	3973
33	139	3959
34	143	3951
35	147	3956
36	151	3946
37	155	3939
38	159	3920
39	162	3890
40	165	3866
41	168	3838
42	171	3810
43	174	3795
44	177	3775
45	181	3754
46	184	3750
47	188	3731
48	191	3716
49	194	3700
50	197	3680
51	201	3672
52	204	3655
53	208	3650
54	212	3649
55	215	3632
56	219	3623
57	222	3615
58	225	3600
59	229	3588
60	232	3577
61	235	3562
62	239	3567
63	243	3567
64	247	3553
65	250	3550
66	254	3541
67	257	3535
68	261	3522
69	264	3516
70	268	3506
71	271	3493
72	274	3480
73	277	3472
74	281	3466
75	284	3461
76	288	3458
77	291	3447
78	294	3435
79	298	3429
80	301	3425
81	305	3415
82	309	3415
83	314	3424
84	317	3422
85	321	3415
86	325	3413
87	330	3427
88	335	3431
89	338	3421
90	342	3419
91	346	3416
92	349	3411
93	353	3407
94	357	3406
95	361	3399
96	365	3397
97	368	3390
98	371	3381
99	375	3378
100	378	3371
101	382	3371
102	386	3367
103	390	3360
104	394	3361
105	397	3354
106	401	3354
107	406	3357
108	412	3374
109	417	3377
110	421	3376
111	425	3376
112	430	3377
113	434	3376
114	438	3373
115	442	3373
116	446	3370
117	450	3367
118	454	3364
119	457	3356
120	462	3359
121	466	3357
122	470	3355
123	474	3355
124	479	3356
125	483	3355
126	487	3352
127	492	3353
128	496	3349
129	500	3349
130	504	3347
131	509	3352
132	514	3352
133	518	3353
134	523	3352
135	527	3351
136	532	3351
137	536	3351
138	541	3353
139	546	3355
140	551	3359
141	556	3360
142	561	3362
143	565	3362
144	570	3362
145	575	3366
146	580	3369
147	585	3370
148	590	3370
149	594	3369
150	599	3369
151	604	3371
152	609	3372
153	613	3372
154	618	3372
155	623	3373
156	627	3371
157	632	3370
158	637	3369
159	641	3368
160	646	3366
161	650	3364
162	655	3364
163	659	3361
164	664	3360
165	668	3358
166	673	3357
167	677	3355
168	681	3352
169	686	3349
170	690	3348
171	695	3346
172	699	3346
173	704	3343
174	708	3339
175	712	3334
176	716	3332
177	721	3331
178	725	3328
179	730	3326
180	734	3324
181	739	3322
182	743	3320
183	748	3318
184	752	3315
185	757	3314
186	761	3312
187	766	3309
188	770	3306
189	774	3303
190	779	3301
191	785	3306
192	790	3304
193	794	3302
194	799	3300
195	804	3298
196	809	3299
197	814	3300
198	819	3299
199	824	3296
200	828	3294
201	833	3291
202	837	3288
203	842	3285
204	846	3283
205	851	3281
206	855	3278
