feature,importance
Factors_ichimokuScore,0.33431843
EntryScore_EMA,0.12287285
Factors_sarScore,0.11049181
Factors_emaCrossScore,0.078437515
Factors_maScore,0.04897071
Factors_macdScore,0.044170063
EntryScore_SR,0.04032904
Factors_bbScore,0.032034393
Factors_rsiScore,0.030983044
Factors_cciScore,0.028446505
Factors_atrScore,0.02331561
EntryScore_AVWAP,0.023187691
Factors_stochScore,0.022265088
Factors_mfiScore,0.019154426
Factors_emaScore,0.018956244
Factors_volumeScore,0.011303844
Factors_priceMAScore,0.010762769
Factors_adxScore,0.0
