id,Date,Time,Symbol,Price,Equity,Balance,Profit,Positions,Score,ExitScore,Factors_srScore,Factors_maScore,Factors_rsiScore,Factors_macdScore,Factors_stochScore,Factors_bbScore,Factors_atrScore,Factors_sarScore,Factors_ichimokuScore,Factors_adxScore,Factors_volumeScore,Factors_mfiScore,Factors_priceMAScore,Factors_emaScore,Factors_emaCrossScore,Factors_cciScore,Factors_breakoutScore,Factors_phaseScore,Factors_institutionalPhaseScore,Factors_orderBlockScore,Factors_sweepScore,Factors_htfScore,Factors_uhtfScore,Factors_fvgScore,Factors_pullbackScore,Factors_supportStrength,Factors_resistanceStrength,Factors_candleScore,Factors_candlePattern,Factors_candleContext,Factors_majorFactors,Factors_nearestLevels,Factors_confidence,Factors_fvgContext,ExitFactors_srScore,ExitFactors_maScore,ExitFactors_rsiScore,ExitFactors_macdScore,ExitFactors_stochScore,ExitFactors_bbScore,ExitFactors_atrScore,ExitFactors_sarScore,ExitFactors_ichimokuScore,ExitFactors_adxScore,ExitFactors_volumeScore,ExitFactors_mfiScore,ExitFactors_priceMAScore,ExitFactors_emaScore,ExitFactors_emaCrossScore,ExitFactors_cciScore,ExitFactors_breakoutScore,ExitFactors_phaseScore,ExitFactors_institutionalPhaseScore,ExitFactors_orderBlockScore,ExitFactors_sweepScore,ExitFactors_htfScore,ExitFactors_uhtfScore,ExitFactors_fvgScore,ExitFactors_pullbackScore,ExitFactors_supportStrength,ExitFactors_resistanceStrength,ExitFactors_candleScore,ExitFactors_candlePattern,ExitFactors_candleContext,ExitFactors_majorFactors,ExitFactors_nearestLevels,ExitFactors_confidence,ExitFactors_fvgContext,EntryScore_Indicator,EntryScore_ADX,EntryScore_SR,EntryScore_FVG,EntryScore_HTF,EntryScore_Candle,EntryScore_Breakout,EntryScore_Phase,EntryScore_InstPhase,EntryScore_OrderBlock,EntryScore_Sweep,EntryScore_UHTF,EntryScore_MarketType,EntryScore_Bias,EntryScore_Fibonacci,EntryScore_VWAP,EntryScore_AVWAP,EntryScore_Pullback,EntryScore_Swing,EntryScore_EMA,EntryScore_FinalScore,EntryScore_Threshold,EntryScore_StrategyType,EntryScore_ActiveStrategies,EntryScore_MainReason,ExitScoreDetails_Indicator,ExitScoreDetails_ADX,ExitScoreDetails_SR,ExitScoreDetails_FVG,ExitScoreDetails_HTF,ExitScoreDetails_Candle,ExitScoreDetails_Breakout,ExitScoreDetails_Phase,ExitScoreDetails_InstPhase,ExitScoreDetails_OrderBlock,ExitScoreDetails_Sweep,ExitScoreDetails_UHTF,ExitScoreDetails_MarketType,ExitScoreDetails_Bias,ExitScoreDetails_Fibonacci,ExitScoreDetails_VWAP,ExitScoreDetails_AVWAP,ExitScoreDetails_Pullback,ExitScoreDetails_Swing,ExitScoreDetails_EMA,ExitScoreDetails_FinalScore,ExitScoreDetails_Threshold,ExitScoreDetails_StrategyType,ExitScoreDetails_ActiveStrategies,ExitScoreDetails_MainReason,Pullback_PullbackValid,Pullback_SwingHigh,Pullback_SwingLow,Pullback_InGoldenZone,Pullback_Strength,Factors_BULL_FVG,Factors_BEAR_FVG
1,08/11/2022,16:33:40,SYM,16.07,1000.00,1000.00,0.00,0,10.66,-55.48,0.0,-90.0,3.47,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,30.31,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,28.13,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.72,10.66,32.4,MULTI_STRATEGY,12.0,,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.48,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
2,08/11/2022,16:34:40,SYM,16.08,1000.00,1000.00,0.00,0,10.19,-25.48,0.0,-90.0,2.29,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,-90.0,25.88,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,8.44,0.0,0.0,0.0,80.93,0.0,0.0,15.52,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.4,10.19,32.4,MULTI_STRATEGY,12.0,,-96.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.48,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
3,08/11/2022,16:35:40,SYM,16.21,1000.00,1000.00,0.00,0,10.09,-5.48,0.0,90.0,-22.24,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,90.0,9.04,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,25.69,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,37.63,0.0,63.71,0.0,85.59,0.0,0.0,15.52,0.0,0.0,0.06,0.0,0.99,14.0,0.0,0.0,0.0,0.0,0.0,-25.84,10.09,32.4,MULTI_STRATEGY,12.0,,-66.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.48,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
4,08/11/2022,16:36:40,SYM,16.10,1000.00,1000.00,0.00,0,11.22,18.79,0.0,-90.0,-0.25,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,90.0,7.28,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,19.79,0.0,0.0,0.0,80.99,0.0,0.0,15.52,0.0,0.0,2.86,0.0,0.0,14.0,0.0,0.0,0.0,0.0,100.0,-5.81,11.22,32.4,MULTI_STRATEGY,12.0,,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.79,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
5,08/11/2022,16:38:30,SYM,16.07,1000.00,1000.00,0.00,0,12.55,-1.21,0.0,-90.0,3.47,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,-90.0,6.42,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,19.99,0.0,0.0,0.0,80.89,0.0,0.0,43.69,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.79,12.55,32.4,MULTI_STRATEGY,12.0,,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
6,08/11/2022,16:39:30,SYM,16.07,1000.00,1000.00,0.00,0,12.55,-11.21,0.0,-90.0,3.47,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,-90.0,6.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,19.96,0.0,0.0,0.0,80.89,0.0,0.0,43.69,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.79,12.55,32.4,MULTI_STRATEGY,12.0,,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.21,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
7,08/11/2022,16:41:30,SYM,16.11,1000.00,1000.00,0.00,0,12.69,-21.21,0.0,-90.0,-1.89,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,0.0,-8.07,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,18.57,0.0,0.0,0.0,85.25,0.0,0.0,43.69,0.0,0.0,1.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,100.0,-8.07,12.69,32.4,MULTI_STRATEGY,12.0,,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.21,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
8,08/11/2022,16:45:30,SYM,16.10,1000.00,1000.00,0.00,0,12.48,-31.21,0.0,-90.0,-0.66,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,0.0,-7.64,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,18.69,0.0,0.0,0.0,85.43,0.0,0.0,38.75,0.0,0.0,1.43,0.0,0.0,14.0,0.0,0.0,0.0,0.0,100.0,-6.25,12.48,32.4,MULTI_STRATEGY,12.0,,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.21,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
9,08/11/2022,16:46:59,SYM,16.06,1000.00,1000.00,0.00,0,11.86,-61.21,0.0,-90.0,4.73,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,-6.42,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,25.59,0.0,0.0,0.0,85.3,0.0,0.0,23.23,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.72,11.86,32.4,MULTI_STRATEGY,12.0,,-98.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.21,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
10,08/11/2022,16:47:59,SYM,16.07,1000.00,1000.00,0.00,0,11.57,-71.21,0.0,-90.0,3.47,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,0.24,0.0,0.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,21.69,0.0,0.0,0.0,85.33,0.0,0.0,23.23,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.44,11.57,32.4,MULTI_STRATEGY,12.0,,-97.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.21,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0,,
