Iteration,Parameters,Return
1/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0004
2/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
3/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0011
4/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0004
5/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
6/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0011
7/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0004
8/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
9/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0011
10/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0004
11/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
12/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0011
13/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0004
14/90,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
