Iteration,Parameters,Return
1/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
2/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
3/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
4/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
5/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
6/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
7/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
8/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
9/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
10/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
11/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
12/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
13/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
14/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
15/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
16/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
17/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
18/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
19/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
20/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
21/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
22/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
23/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
24/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
25/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
26/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
27/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
28/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
29/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
30/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
31/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
32/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
33/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
34/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
35/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
36/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
